+/yYn89HLV	AWS config directory
/e1WqvRJdO	Continue without answering
/ety3+dcoN	Type or paste in emails separated by commas or new lines
/favH7/Yn8	Which organization is this about?
/gQocC77Od	Starting the agent
/gko4gyXu5	Upgrade to {plan}
/h/XKrqXS4	Secret copied to clipboard.
/iEJDxw41Y	Checking install status…
/jH1+GB9/3	My connector does not query or extract data from Claude's memory, chat history, conversation summaries, or user files. (§1.F)
/jpohGWrkJ	Sent as the X-Amzn-Bedrock-Service-Tier header. Leave unset for on-demand.
/kaSYf8LkE	Connected · {latency}ms
/m0q/Dre6A	Model ID
/m3o1Ontbw	Reducing seats isn't supported on this plan. Contact your account team to adjust your allocation.
/m74yeDEuy	Restart to apply this configuration.
/mLI9f4gDS	There are too many members to check. Review group memberships before making changes that could affect access.
/qpG/9bUOK	Back to analytics
/r1dlmQouE	{label} configuration
/uvgPpD1+N	Create a role
/vCpIsjvbm	Domains where this credential may ever be sent. Wildcard only as the leftmost label (e.g. *.example.com). Enforced even if a rule's condition is broader.
/xIM5QF15F	Invocations
/zBewcOy3f	Your organization's policy has blocked access to this folder. Choose a folder inside an allowed workspace, or contact your IT team.
01+wvmSaB8	Your organization has reached the maximum of {limit} groups. Remove an existing group before creating a new one.
05sWumUU1+	The default host-native mode starts faster and works behind restricted networks. Shell commands run inside the VM; file tools run on the host with path-based access control. Enable this only if your security review requires the agent loop itself to run in the VM.
080C5vUX5n	Not in use — toggle on to fetch and apply this URL.
0CaKKmtZPs	You've reached your spend limit for this month. Request more to keep going now, or wait until {day} at {time} when your plan usage resets.
0Hw2bpDvTI	Scanning…
0Nsvk4xG6E	Fetch and apply the URL above at launch. Turn off to keep the URL saved but skip the fetch.
0OAox1ElyE	Opening your browser to sign in…
0Om7HmCRxO	Feedback requires a newer Claude desktop app. Please update and try again.
0StYQKzFD4	ex: Sales
0U9UIrGCGt	Anthropic sources
0WaLn4wSAQ	Open Slack
0X/lTj2Hvv	Product-usage analytics and diagnostic-report uploads. No message content.
0X2jYr2Lz+	× {price} / mo
0aJxT29U/1	Updated {time}
0bgOb2/JIp	Already in this workspace
0hPFsTuQ1X	Extra HTTP headers sent on every inference request to the configured provider. For tenant routing, org IDs, Bedrock Guardrails, etc.
0hzmTPDdkC	Try sending your message again.
0iPwHQ1GrE	The directory does not template tenant subdomains. For per-tenant URLs, typically use separate directory entries or the Custom connection auth mode.
0imfIKOYnp	No active subscription
0kTK2ONcnO	By clicking to accept, you represent and warrant that: (i) you are the individual registered to this administrator account; (ii) you have full legal authority to bind {organization} to this BAA; (iii) you have read and understand this BAA and the Implementation Guide; and (iv) you agree, on behalf of your Organization, to the terms and conditions of this BAA.
0lL1+zD8qJ	You don’t have permission to assign custom roles or groups. These members won’t have any role-based access until a custom role is assigned.
0ne8LIXFnY	By health
0rDhOvgLin	Failed to revoke service token. You can try again.
0rLmv1esFb	Update-check requests, so the app can stay current
0tE2ujn+Za	{amount} in usage credits, on us
0wC/nHinD3	Are you sure you want to delete the role "{roleName}"? This action cannot be undone.
0wvgi5wPfI	Helps reviewers gauge whether your server can handle directory-scale traffic.
0zcJJs/iy7	{count, plural, one {# user will be removed from this role} other {# users will be removed from this role}}
10Lkbatf+R	Get logs and open Slack
10k56ZRjVw	Connect your organization's GitHub Enterprise instances to enable code review and repository access.
11BXmGIT/S	We put your account{hasEmail, select, yes { ({email})} other {}} on hold on {date} because of unusual activity. Your chats and data are safe.
11EFPJEdQz	GitHub App installed
11iQbk1L9r	No chats match “{query}”
12bGPRFDpH	Helper ran, but its output isn't a usable credential
13C0T/3Ydn	Couldn't run the helper
159pClRrG6	Issuer URL
16+ehubl/n	Crash reports and error diagnostics, so we can fix bugs
177LpOw4Oq	Next: Configure permissions
199jLdv0Og	Claude couldn't finish this response. Try again in a moment.
19vfTFVJFY	/usr/local/bin/corp-cred-helper
1AtxnggWsr	A separate allowance to try Claude Design. After it's used up, Claude Design will draw from your normal usage.
1HLmdzwR9I	Your GitHub credentials were rejected. Reconnect GitHub to continue.
1LzDVURyP7	Use Plan mode for complex changes
1OzTJ7v1QD	Absolute path to the server executable, run on the user's machine.
1QKV7FS8FM	Allow user-added MCP servers
1QdLfinpa0	openid email https://www.googleapis.com/auth/cloud-platform
1T3xoXkGRs	Claude {plan}
1WcIuIpt9o	The URL returned 200 but the body isn't a valid config document.
1Y2R5lqV7A	For VPC endpoints or gateway proxies.
1YV+DALw5C	Failed to save rule. Check your inputs and try again.
1aAFqmDEYx	Curated marketplaces of plugins built by Anthropic
1b3/jVoSUZ	{capped} of {total, plural, one {# day} other {# days}} at limit
1bYxQUKrv5	Overrides SSO. Ignored when a bearer token is set.
1cK4ov0mvh	ex: Manager
1e9zwhbnvk	Link URL
1eifSpBeSa	I'm an AI sales agent, here to help you figure out which plan fits, what it'll cost, and how to get your team set up. We can do all of it right here.
1fPbl8sb8U	api://…/access_as_user offline_access
1hlwc+LGtJ	Reducing seats isn't supported on this plan.
1iKVZQOqQ4	Your organization's customer-managed encryption (CMEK) policy doesn't allow changing this setting.
1lTXqk6ea5	Public documentation for this connector will be live by the publish date.
1lfKA3pk6u	Manifest {status}: {detail}
1oztgcYddf	Security and compatibility fixes will not install automatically. Make sure IT has another distribution path.
1pj238c/R8	The saved endpoint and headers will be removed and telemetry export will stop.
1rsHyv9MB1	You're next in line for review
1sNBIJ7fu7	Your organization doesn't have any allowed email domains configured. To fix this before inviting members, <link>contact support</link>
1uitN9RlFW	Upload logo file
1v9Ga0vYPM	Built-in tools removed from Cowork.
1x8HzUvZ+A	Anthropic API
1xdADWuuof	Session was interrupted
1yRrT11eFX	5000000
1zpzpUyPyM	Failed to remove source.
2+mkmXuQGF	Dismiss session
20mZGxPe9J	Run {serverName}
21CV5Tczjm	This session's working folder no longer exists. Choose a different folder or start a new session.
253L2NMhDt	{users} users
25HN5vIs76	Loading devices…
25WZoqr6rF	About discoverable domains
26THi8CeO1	Allowed hosts
28WSWIW1GZ	Disable Canvas instance
2BEeBiSuPX	Not synced yet
2C7GSQtNJE	press right arrow to stop
2EHGE7qUFn	Auto mode isn't available for this session. Asking for permissions instead.
2FTGx2qY66	This capability is enabled but its required capability Cowork is not.
2FtKG7rr7j	Showing {start}-{end} of the first {loaded, number} loaded ({serverTotal, number} total). Use search to find specific members.
2IB0Hxh1vO	.dxt and .mcpb installs.
2QKXfWnX8D	{count, plural, one {# user will have no role assigned} other {# users will have no role assigned}}
2RkwPJ39x2	Uninstall {extensionName}?
2UCn0+Hjdv	System info (app version, OS), MCP connector status, VM info, and recent Cowork service logs. Logs are scrubbed for known secret/token patterns before upload.
2WpSzHZZ1X	[Ants-only] Org UUID
2X9HBvATB1	Unable to load groups. <link>Retry</link>
2YUiQyLcAf	Sent to the Claude mobile and desktop apps.
2ZGJzXGfCl	Loading output…
2bBSM1Hlc6	Try the basics
2cJOU8aydx	Has a pending subscription change — try again after it completes
2fisBu66YH	Free plans are limited to {count, plural, one {one project} other {# projects}}. Upgrade to create as many as you need.
2ioGdTuxCo	Enable Claude Code in the web to use Claude Security.
2jK6ZU5YQz	You can only share projects with specific individuals. Contact your admin to request the ability to share with your whole organization.
2pwaqX5iEv	GOCSPX-...
2q1AloiRLz	{roleList} have different permission levels for this connector. Members assigned to multiple of these roles get the more permissive level.
2rQYX7/A0M	Microsoft Entra Conditional Access is blocking {serverName}. Ask your IT admin to review Conditional Access policies for this app.
2tQzCPSbi0	Deleted {count, plural, one {# session} other {# sessions}}
2wHQR3Uy3V	Send a friend a free week of Claude Cowork. If they love it and subscribe, you'll get {rewardAmount} in usage credits to keep building. <termsLink>Terms apply</termsLink>
2wLwVveH2Y	Missing system library
2wdDIpKRyN	Let team members request usage credits when they reach their limits. <a>Learn more</a>
2xt15PXLR6	Create apps, prototypes, and interactive documents that use Claude inside the artifact.
2zquyaeUIo	Why was my account put on hold?
31OZ8O6ag0	{count, number} from {fileName}
31fFckJI2n	Couldn't check whether the Claude GitHub App is installed on this repository. Retry to continue.
35j2Q7fMHM	Servers & settings
3F+P/Ke1tb	Client ID Metadata Document (CIMD). The server must support it.
3FyZxMk7uC	Code Execution & File Creation
3HnBzRh3JG	{name}, rename chat
3HsvZ8U/SX	<hl>{name}</hl> invites you to join <hl>{org}</hl> on Claude Code
3KG2vkfG5K	Your styles have migrated to Skills
3KW7P5jhld	We reviewed your account and the additional context you shared, and decided not to restore access. This is our final decision.
3L2wPNt++S	No targets routed through this proxy yet.
3NZgLTCo36	All sections AND. Values within a section OR. Leave empty to match everything.
3PndDPtcJF	Net gain
3Q0d0kQ+5W	Voice speed
3RLO9ysmBM	Not on a Team plan
3Rkb+dzIYj	No plugin.json
3T2o/IA7rO	You've reached your spend limit for this month. Manage spend limit to keep going now.
3XI+xKIxnt	Sees {count, plural, one {# message} other {# messages}} from main chat
3bo26A21gA	Required when the server asks
3efJ/Ga/kq	You're about to enable the Canvas instance ‘{platformName}’.
3gFEPaO32z	Describe what was happening recently. Any extra context we should know?
3gNFS1DF0J	Request usage credits
3iLLaW8pc5	Tumbling window length for the token cap. Max 720 hours (30 days).
3jpE3Vkl1p	I have saved this secret
3kc1I8pWuV	You've reached your monthly spend limit, but you still have credits. Increase your limit to keep working.
3lvTbjitpe	No server selected.
3mzEki9uWH	Saving memory
3qvMQVWyxg	<strong>Exception:</strong> Claude Code stays available to your users but is not covered by the BAA. Only Claude Code with ZDR is covered by the BAA. Claude Code with ZDR is available only for qualified accounts and must be configured by your account team. To restrict Claude Code use within your organization, see <link>Role-based permissions</link>.
3rKljC8I57	Paste the callback URL below
3vfA9Z756a	{pct}% of skill users use this
3vu0YRpEU4	Hi {name}! Which of your organizations can I help with?
3xAmiGOI8S	Turn on {extraUsageLink} for additional runs.
3yY1p8m6VT	Delete role
4/3NIq0i3K	Claude Pro is required to connect to Claude Code
41KyM/J1BL	Session moved to the cloud.
42iloQctkX	your organization
43fHBvBM8S	You just hit your free message limit. Upgrade to Pro to send more messages. You also get:
47aHGyWFid	Single line, truncated on overflow. Maximum 200 characters.
47svuNMHCd	Installation
49Qk5uPdkt	Revoke agent proxy?
4E0tRa/tSS	Ability for Claude to search the web for real-time information during conversations. When off, Claude can only use its training knowledge.
4HEXemED4V	•••••••• (saved)
4I/ijU9BSO	Hi there, let's find the right plan for your team.
4M2CY2u25i	Failed to update Claude Code setting. You can try again.
4M8v6unyJX	Couldn't restore the previous session
4MengK4xQ/	hours
4MnrK68K3P	Unscheduled
4Q6tWDAIvr	Not recognized
4QdFGDyddi	Set up usage credits so anyone with a usage-based seat can use Claude.
4RK/3dvxuB	{count, plural, one {This session} other {These # sessions}} will be permanently deleted. This can’t be undone.
4RwYWBmY40	This disables artifact previews and connector icons. Artifacts will not render in conversations.
4UtfB0TvB4	Product management
4XTG+LtKI0	PRs
4YT0wQbRoq	Curated by Anthropic. Sources you add appear for everyone in your organization.
4aG3t6MUs/	Set up a routine
4ahpF5N/t0	Power through tedious tasks
4f4V4aBUm2	{count, plural, one {# extra usage request} other {# extra usage requests}}
4fGytPLZ4o	Failed to start
4hrAYpn2S6	Only set if your IdP requires an exact-match redirect port. Entra accepts any.
4lpmeOScgx	Enable connectors individually to provide HIPAA attestation.
4rZseUiJ/1	You're now past your plan's included usage. Your Cowork limit resets {day} at {time}.
4sn+9mj8VH	Share visibility
4tBI+hIy1i	Secret for the Desktop-app OAuth client above.
4tdiEppQ3S	Essential telemetry
4voWiOClI8	Sales-managed subscription — contact your account manager
4w2mdIEQf/	Another program (e.g. antivirus) has a temporary lock on app files. Wait a moment and try again.
4zrmdy4x65	No additional details are needed for this connector.
5+ZlKl+Von	{featureName} isn't included in your plan
50CI+O6SDT	To enforce member permissions with custom roles, go to the <link>Members</link> page and change the member's role type to <b>Custom roles</b>. Custom roles cannot grant features disabled at the organization level. Learn more about <defaultLink>roles and permissions</defaultLink>.
5136Kri9cs	This Claude Enterprise organization is configured to process Protected Health Information (PHI) under the executed BAA.
51etlAwunD	Tested with MCP Inspector
53rjekVsYJ	Contact your Anthropic representative to procure additional seats.
571VErsGEK	Your local time, previous day
5BI7hemeRU	Access to higher usage limits, taste of Claude Code and Cowork, and much more.
5CIoYVOrIV	Usage credits are off for your org
5Ch3Wkh1WN	{price} / yr
5DkACZ8D5d	Copy {file}
5DvVdHWYeP	Reading files
5GnwjnPT99	Organization instructions saved.
5J779v0w4/	Prompt ({length, number} characters)
5JBKsF+pXr	Env
5KBKe9GaKm	Third-party connections
5KunhsKbWZ	Sign in to your organization
5P51EWFg/l	Public URL session containers use to reach the proxy. You can change it later.
5SJ4ZG3Kp2	HTTPS endpoint that returns a per-user JSON config overlay. Values from the response override local settings and become read-only.
5UH4ihGx1z	Step {step} of {total}: {label}
5VxKcPxf4n	Nonprofit pricing is only available for subscriptions billed in USD
5WLafALiPe	Hours before a downloaded update force-installs. Blank = 72-hour default.
5ZymBsxYIf	12-digit AWS account ID assigned to users in IAM Identity Center.
5bm86N5sK2	Your plan is past due. Make a payment to restore access.
5c1T61cmWe	Subtotal · {seats} seats
5cbekPftj7	These users are not assigned to any other role through their groups. After removing these groups from this role, they will no longer have access to any features enabled by roles.
5i3lbP7/1j	Lets members run Cowork in the background and send it tasks from any signed-in device.
5lQcMEt3AU	Or continue with {provider}
5oTa1gWQsk	Allowed egress hosts
5qlmjg4fJG	Couldn't switch branches
5s0Im9rAJC	Add connectors for your organization to control which roles can use them.
5tapNuBXD8	You're about to disable the Canvas instance ‘{platformName}’.
5yMDA83YA1	Client private key (PEM)
6/y9s8gTUJ	More usage, SSO, advanced security, and dedicated support for your organization.
60+BpHIvF/	Filter by product
6897NXmDnD	Access to Claude Opus
6ADOslBl20	We reviewed your account and lifted the hold. Thanks for your patience, and sorry for the time it cost you.
6ATFmKfE8D	Remixing
6C5sC1i2Q8	{count, number} selected. Select-all is limited to the first {loaded, number} loaded members.
6ISjoQ9Mkh	in
6IjSTkGhXh	Booting…
6L9Y5wO1ji	On GitHub event
6NwjCQmCZB	Override the Google OAuth scopes (space-separated). Leave blank for the default.
6T78KTXhBM	Custom inference headers
6TfZyoMzg5	{hits, plural, one {# view} other {# views}}
6TgDeF8iRs	Add policy
6UfMpt7MRj	Upload compliance certificate (SOC 2 / ISO)
6Vvmjv/OFI	Productivity lift percentage
6cmRKZgiFv	Full URL of the inference gateway endpoint.
6dGAp13rJ/	Filter projects by name
6e54GYtEBl	Skip confirmation
6eMQjpT3Y9	AWS bearer token
6h8w5qGtdW	Remote screen
6hg7UUZsmD	Spend controls for the {service} service.
6iUlbh1s3t	You're out of usage credits. Buy more to keep going now, or wait until {day} at {time} when your plan usage resets.
6ilxzWQ8aG	Connect your GitHub account so Claude can list your repositories during setup.
6kv8VKLwHa	Claude is using the cached response. Newer changes at the URL won't apply until a successful sync.
6onYSxSKA+	Sign up for a Pro or Team subscription to connect your account, or use your API key.
6qZJPYESfX	Run parallel sessions on your real codebase—each with its own terminal, editor, and preview—so you can take a change from idea to merged.
6uDnct6clQ	Allow team members to access Claude Design.
6vV5oGkCFL	Notify me when this routine finishes
6w60Rd5Jor	Continuing from a side question.\n\nQ: {question}\n\nA: "{answer}"\n\n
6wS2xK8Og+	Claude Code analytics view
6xap9LaOTG	Good
6xyJHAPd24	Claude Security illustration
6ytx+ItLia	Already has nonprofit pricing
6zUj8MXKAF	Please enter a valid number
6zZPTguJOr	Cost is only available for the current month.
7/0pxcYQhw	Usage credit requests turned on
71dtHvbhEs	Wait for Claude
725LtLiE2E	GCP project ID
72oJOfXboG	Copy ACS URL
74RVxgCUX+	Last total · {month}
77MbQyFrM3	Signed in
7CyTe1G1ef	The environment or runner pool pre-selected when your team starts a new Claude Code web session.
7E4mBLKWTa	Filter by severity
7EpRnG/Kol	Remove {overage, plural, one {# address} other {# addresses}} to continue. Need more capacity? <link>Contact sales</link>
7F5OAaiiBU	artifacts
7FGXQIVLgp	It won't be shown again. The proxy authenticates with it on every heartbeat — if you lose it, revoke this registration and create a new one.
7FyEwY5cXb	Manage user invitations, seat assignments, and deprovisioning.
7H52V8cfN1	Run functional tests — calls {count} read-only tool(s)
7JzwmYwdqB	Ask Claude about your code
7KENh/cIdm	(on-demand)
7KFLgD8w8i	Couldn't get a sign-in token from your identity provider. Try signing out and back in, then reconnect.
7NIBxwugIx	Disconnected from the remote session. Send a message or refresh to reconnect.
7OW8BTDziy	Configuration
7PQu3bgx83	Usage credits draw down as you go. Good for occasional busy days.
7S0Li0OjBJ	Failed to update Claude Code in the web.
7TICmxuTsz	Extra usage is disabled for your account. Manage spend limit to keep going now.
7U5OZwbVj5	https://intranet.example.com/usage-policy
7UUZNR6Ap5	Your org is out of usage credits. Buy more to keep going now, or wait until {day} at {time} when your plan usage resets.
7V6vuDWSaW	Action needed
7WUboosKAY	What's included?
7XLBSpnkO+	Tap <b>Verify my age</b> above — verification takes about a minute and your account is restored automatically if you pass.
7Xx8IXXGTJ	Continue to checkout
7beLuu03iF	Will be required and enabled on {date}.
7eMdIUQj/m	None of your organizations are currently eligible. See the reason next to each, or create a new Team organization below.
7oFrM64tU+	Legal
7q0oJax+NE	Buy usage credits
7qMu4OdZsc	Your org has reached its spend limit for this month. Manage spend limit to keep going now, or wait until {time} when your plan usage resets.
7sDcr49UF4	If you had an active paid subscription, it was cancelled when your account was put on hold and your last payment was refunded.
7sXvnsxywE	Claude Code Desktop already enforces your <link>Managed settings</link> and MDM-deployed configuration. This legacy toggle will be retired in an upcoming release. To keep an existing restriction in effect, set <code>permissions.disableBypassPermissionsMode</code> to <code>{value}</code> in Managed settings or via MDM.
7syyPo6BcF	Create and modify your Claude Design projects
7tU4FaQxYY	Remove {domain}
7vTavgWpok	AWS profile name
7xYRPYgjLF	Set by bootstrap URL · <h>{host}</h>
7yXozdQoAD	Couldn't dismiss request. You can try again.
7zXg4ifvoR	Cancel dictation
8+GEYEqcFF	{serverName} requests your input
80SZmOzpMP	This guide doesn't exist or was removed.
852HznY0AW	Usage credits show up on your invoice at the end of each billing cycle.
85tu4iWmvj	Copy guide content
88GIE2tp0x	Site permissions
88z5M/JghN	Message from session {name}
89RRikLolL	GitHub access check failed
89uBcpSCey	Hand off complex tasks
8C+hlpjXXu	Failed to rename pool. You can try again.
8CEcyDdp/p	Open {provider}
8CGvSG1VJL	↑ ↓ to navigate{sep}Enter to select{sep}⌘ Enter to submit
8EHxLoXmVO	How does age verification work?
8F+30bQ20n	Optional auth headers for the collector.
8FII3P6bdq	Last scheduled scan failed
8Jc9WEC0S8	Desktop extensions (Python runtime)
8KVYB6WLbg	OAuth — Anthropic-managed client
8MEdGSggd1	The Claude GitHub App isn't installed on this repository. Install it to run a scan.
8PYVgsFRnq	Limit increase requests disabled
8TQoLRh7Ea	seconds
8UbhBwPYz/	Include files
8a8+TeDqJr	Any session tokens this runner issued will also be revoked.
8fXrWqpNtx	{count, plural, one {# usage credit request} other {# usage credit requests}}
8iFOB5Ru96	Refund of {amount} (plus {creditsAmount} for unused usage credits) processed. Expect it in 3–10 business days.
8igZF1i+Pg	That device is already shown in another tile.
8jEVRl+dbg	paused — resumes on next message
8k6fMsg4IY	Your seat type doesn't include extra usage. Manage spend limit to keep going now.
8ks1vwbmb6	Server submitted for review
8lCjAMCo+L	Priority
8mRNBDIXEf	Previous month
8mRSoJLpG6	Tell us how users authenticate with your server so we can list it correctly and route the right connection flow.
8nsTrp2M6s	You can change this later by signing out.
8sEg8zVUkv	Press enter after each email, or paste a list.
8sdwytNUjt	public projects
8w6hTfl5d7	Identity & Access
8w8SOeyOJA	Attaching…
8xiLmGrsv8	Time period
8y0ekybqHa	Failed to load skills. Try refreshing the page.
9+GO1v/jPW	Buy usage credits so your team can keep using Claude if they hit a limit.
9+xImU/m9u	Enable Claude Security in settings to start scanning your repositories.
92uIUqhDHB	Configured on this device
933XjkoVGh	No simulators found — install one in Xcode
94VSGBCf7C	We'll review your account
9904KlI+jU	Branch to new chat
99M81+3Fji	Message to Anthropic
9APUjQes22	Your seat type doesn't include usage credits.
9AucHUJjjh	Use the credit on Claude.ai, Claude Code, Claude Desktop, or third-party apps. When it runs out, you can add more usage credits to keep going past your plan limits. Expires {date}.
9B9oxKzS23	Let's tackle something together
9HU8vwHwVV	Reply
9IqzYQZfCD	Claude gives better answers when it understands what matters to you
9Kp4ZgNuBk	Copy answer
9NLCgvt8no	{sec} s (limit)
9NklzoAdVS	No recurring scan scheduled
9ORjMEju5A	Anything authenticating with this key will lose access. This action cannot be undone.
9PrNnwUTkp	Claude Max 5x
9R4NPWEKk0	No artifacts matching “{search}”
9S5YZDQ09o	Upgrade to Claude Max to use our best and latest models
9TQZs+B5Zw	Awaiting sign-in
9TuGhcPdgo	Injected on every proxied request to allowed hosts. Values are write-only and never shown after saving.
9UY2MISrxR	Manage in Connectors
9WVmruBamk	Code appearance
9XUYQtJvwF	Import
9fP4TVlrXg	Leave blank to supply the key via a credential helper.
9me4Da2SKC	See what's included
9qQVeeZUgq	Back to plans
9rJhEHELoO	Couldn't fetch your organization's configuration. Open Setup to see details and sign in.
9s1k/OyX4V	Remove entry
9v3wPYCIOx	Annual Claude Code spend
9w/oawRjHR	Delete anyway
9zWLPs3K7f	The runner and its other sessions are not affected. To cut off the whole runner, revoke the runner's token instead.
A0clT7+tFG	Connector submissions
A30swJoJat	Calls are made with your connected account. Tool annotations are self-reported by the server and not verified by Anthropic — connect a test account with representative data where possible. Write/destructive tools are never called. Snippets of the tool responses are saved with your submission for Anthropic reviewers, so don't run this against a server holding real customer data.
A4P4vvhQZV	Unable to load agent proxies. Try again later.
A5CxfUT9CA	Failed to upload {name}. It won't be attached.
A6a5gAY9+n	Applies to this session only
A8rWfKl1gY	Refresh marketplace
A9/lbJqU6I	Redirect port
AAeS757eXL	Lost connection to the remote session. Reload the page to reconnect.
AAoen1ynSV	Worked for {duration}
AB2EVdRKmB	Only the first {max} rows were imported.
ABbr43jXlD	Claude understands your codebase and helps you build, debug, and ship faster. Upgrade your plan to get started.
ACeXpvieoL	Agent proxy
ADeZaQ2mEe	Payment system failed to initialize. You can try again.
AFVTqMDEF5	You've reached your spend limit for this month. Your plan usage resets {day} at {time}.
AFcnmzHf3k	Project CLAUDE.md
AVOMYOSiRF	Remove {count, plural, one {# invalid} other {# invalid}}
AWT+dWCL0C	This task runs during peak hours (weekdays {ptStart}–{ptEnd} PT, {localStart}–{localEnd} local time) and will consume your session usage limits faster.
AWWmM+LoL9	Sign in & test
AZAYog2LGY	Open {hostname} to authorize {name}?
Ab/1gV+iTB	{count, plural, one {# row was} other {# rows were}} skipped — only @{domain} addresses can be invited.
AcNj9+sIQc	Claude will send you a one-line summary when each run completes — only when there's something worth telling you for routines that watch for a condition.
AmpQ4SI339	e.g. JetBrains Mono
Amxb69AvfR	Choose where Claude Desktop sends inference requests.
AoDWQXWufp	So you're not starting from scratch
AsG53SJGti	Run these in a terminal, then come back and paste the guide above.
Awup86Qe5L	press right arrow to run
B0171SFQhg	Build at a bigger scale
B2JAEkQZ5I	Reviewing…
B4iKD1c+UP	· {plan}
B5pbgQ3tWM	Anything else we should know?
B6F2sC7pVE	Restarting Claude Desktop may resolve this.
BAG8RhfFpc	Confirm and create key
BC1jV+JUBP	Your organization's zero data retention (ZDR) policy doesn't allow changing this setting.
BDlrpaFylr	Open Claude Security
BEFJ78AlgE	We put your account{hasEmail, select, yes { ({email})} other {}} on hold because of unusual activity. Your chats and data are safe, and your teammates aren't affected.
BEKApZtIyI	Print as PDF
BFErJkP7dz	Access to the Claude Mythos model in Claude Code and Claude Security.
BFX5sgeN+B	Running — click to cancel
BFYprPQTJR	Mobile notifications
BG+3SSJZr9	Connect a tool with /mcp
BHCo66oUWR	We'll redirect you to your GitHub Enterprise instance to create a pre-configured App with one click. You won't need to enter credentials manually.
BI4+6wSEak	Claude will walk you through your team's setup and get you started.
BIqNe0P6rs	Ask Claude to find a fix and open a pull request
BPBvYjVmyP	Filter by risk level
BRDaNhNCg/	Reading mount folder…
BV6xvahcWZ	Best for developers and anyone who needs more usage
BVsRV2Qswd	<bold>Act without asking is on.</bold> Claude works, uses connectors, and controls apps on your computer without pausing for approval. You can turn off individual connectors in the Add menu. <link>See safe use tips</link>
BWQmIeBoYY	You are now signed in as <b>{currentEmail}</b>. If you didn't expect this, log out.
BY343C3tWs	Change
Ba3MtjwP5h	Telemetry & updates
Bal7txmD9x	You've reached your spend limit for this month. Request more to keep going now, or wait until {time} when your plan usage resets.
BdxRviUbrE	· {count, plural, one {# warning} other {# warnings}}
BfHrtKLzKn	my-gcp-project
Bfx0/xIb4+	Use Claude from where you already work
BnnyuqFEw0	Import from link
Bq+7Yk+xp3	Maximum of {max} file attachments per message.
BvDDtnyu3v	Use a different name on invoices (optional)
BwZb5mni5x	Get Claude Code
ByvmscaYAo	Paste this guide into Claude Code
Bz0oDcq6PV	Enter a valid date and time.
C6F5RhayyU	You've reached your {limitName}. It resets at {resetTime} on {resetDay}. To keep working before then:
